number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout_fc,params_hidden_size,params_lr,params_num_layers,params_weight_decay,state
63,0.3233549892902374,2025-11-16 00:38:49.417503,2025-11-16 00:39:09.050653,0 days 00:00:19.633150,64,True,0.5423597263747151,256,0.0006953145826787786,2,0.0004289165981442173,COMPLETE
64,0.3435690104961395,2025-11-16 00:39:09.050653,2025-11-16 00:39:28.657898,0 days 00:00:19.607245,64,True,0.5278593795268869,256,0.0006389464439802669,2,0.0002837838056370963,COMPLETE
65,0.4121547341346741,2025-11-16 00:39:28.660992,2025-11-16 00:39:48.466868,0 days 00:00:19.805876,64,True,0.303959850414281,256,0.0005431075807485717,2,0.0001545320219165973,COMPLETE
66,0.4516059458255768,2025-11-16 00:39:48.466868,2025-11-16 00:39:55.122686,0 days 00:00:06.655818,64,True,0.5680044361416798,96,0.0005168093320219013,2,0.0005211564955832722,COMPLETE
67,0.4602953791618347,2025-11-16 00:39:55.122686,2025-11-16 00:40:25.313940,0 days 00:00:30.191254,64,True,0.5864732126605663,192,0.0005751543373117085,2,0.0006519298226329982,COMPLETE
68,0.6249063014984131,2025-11-16 00:40:25.313940,2025-11-16 00:40:26.548816,0 days 00:00:01.234876,64,True,0.5447459655740733,64,0.0007691567351446835,2,0.00035438932112682623,PRUNED
69,0.5306468605995178,2025-11-16 00:40:26.558336,2025-11-16 00:40:28.183486,0 days 00:00:01.625150,64,False,0.5603500761613821,256,0.0006758726961411363,1,0.0007834561486778103,PRUNED
70,0.3154345750808716,2025-11-16 00:40:28.183486,2025-11-16 00:40:38.518458,0 days 00:00:10.334972,64,True,0.5767911047232611,128,0.0007264242724203928,3,0.00040699247009559956,COMPLETE
71,0.9843735098838806,2025-11-16 00:40:38.518458,2025-11-16 00:40:40.407419,0 days 00:00:01.888961,64,True,0.5763867602842602,128,0.0006168513911115864,3,0.0004306854108164199,PRUNED
72,0.35994139313697815,2025-11-16 00:40:40.407419,2025-11-16 00:40:50.585498,0 days 00:00:10.178079,64,True,0.5997786807602352,128,0.0007205996693705783,3,0.0005171124706352435,COMPLETE
73,0.3790280222892761,2025-11-16 00:40:50.585498,2025-11-16 00:41:00.797184,0 days 00:00:10.211686,64,True,0.5309984928074014,128,0.0008260801303031529,3,0.00037939372064040857,COMPLETE
74,0.38763365149497986,2025-11-16 00:41:00.797184,2025-11-16 00:41:08.683925,0 days 00:00:07.886741,64,True,0.5743227177397631,128,0.000898356748706159,2,0.0006213671181673368,COMPLETE
75,0.5057262778282166,2025-11-16 00:41:08.683925,2025-11-16 00:41:12.375034,0 days 00:00:03.691109,64,True,0.5885972627015783,256,0.0007803302926083714,2,7.244758923051866e-05,PRUNED
76,0.3739154040813446,2025-11-16 00:41:12.375034,2025-11-16 00:41:32.103549,0 days 00:00:19.728515,64,True,0.5584715565190772,256,0.0006562272966017871,2,0.00022903159519599534,COMPLETE
77,0.5641896724700928,2025-11-16 00:41:32.103549,2025-11-16 00:41:33.754910,0 days 00:00:01.651361,32,True,0.546390615539018,128,0.0013950745121909984,2,0.00027346059426484843,PRUNED
78,0.5146013995011648,2025-11-16 00:41:33.754910,2025-11-16 00:41:42.779099,0 days 00:00:09.024189,16,True,0.5185904802632147,256,0.0007317455152588681,2,4.021170548673295e-05,PRUNED
79,0.2569678723812103,2025-11-16 00:41:42.779099,2025-11-16 00:42:02.482100,0 days 00:00:19.703001,64,True,0.474602507642801,256,0.0005023088539407471,2,0.000689565687310205,COMPLETE
80,0.3143974542617798,2025-11-16 00:42:02.482100,2025-11-16 00:42:22.228789,0 days 00:00:19.746689,64,True,0.4998855757100455,256,0.0005163857558789512,2,0.0006780467528398568,COMPLETE
